Voornaam;Naam;Affiliatie;E-mail;Website;geodcatap;
Bert Van ; Van Nuffelen  ; Digitaal Vlaanderen ;;;;A
Bert Van ; Van Nuffelen  ; Digitaal Vlaanderen ;;;;E
Geraldine ; Nolf  ; Digitaal Vlaanderen ;;;;A
Eveline ; Vlassenroot  ; Digitaal Vlaanderen ;;;;E
Loes ; Deventer  ; Digitaal Vlaanderen ;;;;C
Dirk De ; De Baere  ; Digitaal Vlaanderen ;;;;A
Gerda ; Cobbaert  ; Digitaal Vlaanderen ;;;;C
Benjamien ; Schmitt  ; Digitaal Vlaanderen ;;;;C
Bart ; Cosyn  ; Digitaal Vlaanderen ;;;;C
Veerle ; Beyaert  ; Digitaal Vlaanderen ;;;;C
An ; Heirman  ; G.I.M - Geographic Information Management ;;;;C
Mathieu ; Chaussier  ; G.I.M - Geographic Information Management ;;;;C
Gustaaf ; Vandeboel  ; G.I.M - Geographic Information Management ;;;;C
Bart ; Hanssens   ; Federale Overheidsdienst Beleid en Ondersteuning ;;;;C
Pieter ; Fannes  ; Departement Omgeving ;;;;C
Geert Van ; Van Haute  ; Departement Omgeving ;;;;C
Stijn ; Goedertier  ; Departement Omgeving ;;;;C
Steven ; Geirnaert  ; Departement Omgeving ;;;;C
Inge ; Lemmens  ; Havenbedrijf Antwerpen ;;;;C
Laura ; Kupers  ; Nationaal Geografisch Instituut ;;;;C
Céline Vilain ;Céline Vilain ;Nationaal Geografisch Instituut ;;;;C
Jasper ; Beernaerts  ; Nationaal Geografisch Instituut ;;;;C
An de ; de Meyer  ; Departement Financiën en Begrotin ;;;;C
Severien ; Gouwy  ; Departement Mobiliteit en Openbare Werken ;;;;C
Johan ; Boogaerts  ; Koninklijke Federatie van het Belgisch Notariaat vzw ;;;;C
Frederik ; Vercammen  ; Centrum voor Jeugdtoerisme vz ;;;;C
Britt ; Lonneville  ; Vlaams Instituut voor de Zee ;;;;C
Donovan ; Linton  ; Inetum Realdolmen Belgium ;;;;C
Frederik ; Bastiaensen ; publiq ;;;;C
Kay ; Warrie  ; Stad Antwerpen ;;;;C
Cor ; Melse  ; RIVM Nederland ;;;;C
Geert Van ; Van Gaever  ; Agentschap Wegen en Verkeer ;;;;C
Luc ; Janssens  ; Stad Lier ;;;;C
Catalin ; Turlica  ; Centrum voor Informatica voor het Brusselse Gewest ;;;;C
Johan ; Boogaerts  ; FedNot ;;;;C
Niels ; Melotte  ; DVW ;;;;C
Willy ;Smeulders ; ;;;C
